filepath,emotion,features
processed_ravdess\03-01-03-02-02-01-11.wav,3,"[-342.05950927734375, 53.24575424194336, 3.3145949840545654, 8.093807220458984, 2.360422372817993, 2.4923930168151855, 2.1487181186676025, 0.22300569713115692, -5.707767963409424, -2.8306734561920166, 2.7245378494262695, 0.8588651418685913, 2.2944495677948, 179.0634765625, 56.3072395324707, 26.694868087768555, 20.56039810180664, 22.957178115844727, 18.682910919189453, 16.316730499267578, 13.16971206665039, 15.843154907226562, 12.66320514678955, 12.046113967895508, 10.660582542419434, 8.337252616882324, 0.4837503135204315, 0.5541774034500122, 0.6232649087905884, 0.6676440238952637, 0.6651980876922607, 0.6225999593734741, 0.6004024147987366, 0.6614190936088562, 0.635676383972168, 0.5597920417785645, 0.5544506311416626, 0.46507126092910767, 0.3545878529548645, 0.37562236189842224, 0.38590508699417114, 0.3917858898639679, 0.41330233216285706, 0.42400577664375305, 0.4184328615665436, 0.3974205255508423, 0.35856276750564575, 0.34620505571365356, 0.3538634777069092, 0.31184276938438416, 1250.3947527929943, 1473.3578345925227, 2054.03548372006, 2611.619801002203, 0.04980176366017964, 0.10796187329117461]"
processed_ravdess\03-01-03-01-02-02-17.wav,3,"[-331.7936096191406, 70.41121673583984, 0.7541986703872681, 18.20556640625, 9.345730781555176, 10.875737190246582, 6.479782581329346, -10.966654777526855, -3.2549657821655273, 7.096627235412598, 3.473806858062744, -0.48458588123321533, 9.335600852966309, 153.1941680908203, 59.5583381652832, 22.865875244140625, 19.8570499420166, 18.933082580566406, 17.221599578857422, 11.238825798034668, 15.679883003234863, 13.645578384399414, 9.48359203338623, 11.825078964233398, 12.277571678161621, 9.795611381530762, 0.5781586170196533, 0.6626050472259521, 0.7499527335166931, 0.7464002370834351, 0.742491602897644, 0.7450019717216492, 0.718191921710968, 0.724924623966217, 0.6848729848861694, 0.6189414858818054, 0.5595694780349731, 0.5430039763450623, 0.29557105898857117, 0.29271724820137024, 0.2835172414779663, 0.3125540316104889, 0.36271971464157104, 0.37579452991485596, 0.37257593870162964, 0.3833216428756714, 0.3720535635948181, 0.35545018315315247, 0.32168102264404297, 0.3018031418323517, 940.0563204092704, 992.5012785844278, 1517.8093405330883, 1911.7816178827381, 0.020163143382352942, 0.03822230419982268]"
processed_ravdess\03-01-03-02-02-01-23.wav,3,"[-357.98681640625, 42.39460372924805, -2.6225242614746094, 4.275228500366211, 4.042677402496338, -1.0191861391067505, -2.429274320602417, 2.559734582901001, -6.850915431976318, 2.654350519180298, 4.246473789215088, 1.2537885904312134, 2.5974104404449463, 189.1564178466797, 54.84455871582031, 25.839916229248047, 19.895469665527344, 16.12523651123047, 18.00404167175293, 17.164859771728516, 11.247011184692383, 21.027185440063477, 9.634803771972656, 9.881431579589844, 9.897361755371094, 9.993362426757812, 0.6288959383964539, 0.6721481084823608, 0.7357710003852844, 0.8031763434410095, 0.7721067070960999, 0.7352267503738403, 0.7396466135978699, 0.7181704044342041, 0.7059921026229858, 0.6535873413085938, 0.6041468381881714, 0.573878288269043, 0.30167242884635925, 0.3170763850212097, 0.3303090035915375, 0.32439476251602173, 0.3506525456905365, 0.38440537452697754, 0.3905394971370697, 0.3778994083404541, 0.37596774101257324, 0.3405560851097107, 0.3033255636692047, 0.27673885226249695, 829.3705296546692, 1250.3597342520231, 1523.243408203125, 2358.536167262863, 0.02440708705357143, 0.04180053310767654]"
processed_ravdess\03-01-03-02-01-02-14.wav,3,"[-353.5046691894531, 27.406883239746094, -23.85240936279297, 7.904809474945068, -7.300690174102783, -10.261560440063477, 1.1976851224899292, -9.81595516204834, 4.402936935424805, -0.7085450887680054, -1.7993777990341187, 8.077757835388184, -2.3772764205932617, 172.70790100097656, 33.25221633911133, 41.34968948364258, 28.27715492248535, 25.377729415893555, 21.324918746948242, 18.90327262878418, 20.874479293823242, 12.236879348754883, 11.682214736938477, 11.423235893249512, 10.281461715698242, 17.265657424926758, 0.5631819367408752, 0.581372857093811, 0.5929195284843445, 0.6425420045852661, 0.654068112373352, 0.6643696427345276, 0.7054291367530823, 0.756362795829773, 0.7156842350959778, 0.6216935515403748, 0.6101288199424744, 0.5431349873542786, 0.33185020089149475, 0.3580177128314972, 0.3902749717235565, 0.38843777775764465, 0.39796531200408936, 0.40559452772140503, 0.3927290737628937, 0.3317164182662964, 0.34511086344718933, 0.3445565402507782, 0.311784952878952, 0.2788679003715515, 1229.4521803944292, 1203.259927536172, 2429.707668138587, 2413.6727415830646, 0.028556871118012424, 0.040910175571772026]"
processed_ravdess\03-01-03-01-02-02-13.wav,3,"[-380.84521484375, 61.326942443847656, 2.4925832748413086, 15.154725074768066, 7.7768874168396, 10.07177734375, -5.049988269805908, -2.1683216094970703, -3.247140407562256, 2.06927752494812, 7.1727142333984375, -1.585119366645813, 8.812579154968262, 202.24961853027344, 61.27481460571289, 23.401227951049805, 19.1270694732666, 18.74142074584961, 10.967931747436523, 21.691755294799805, 15.917898178100586, 16.09306526184082, 12.58319091796875, 7.0358195304870605, 13.307644844055176, 11.007888793945312, 0.5830579400062561, 0.6670719981193542, 0.6790674924850464, 0.7093181014060974, 0.7486844658851624, 0.7167094349861145, 0.6814846396446228, 0.684546172618866, 0.6521399617195129, 0.6404484510421753, 0.6322432160377502, 0.5250769257545471, 0.326838880777359, 0.342080295085907, 0.3687426745891571, 0.37574347853660583, 0.36382806301116943, 0.38688504695892334, 0.40033507347106934, 0.37346506118774414, 0.3545759618282318, 0.31898587942123413, 0.30422499775886536, 0.2860575318336487, 877.6410964369296, 1054.4327000191067, 1601.1808975883152, 2142.5423370644153, 0.022202643795289856, 0.030709284754767693]"
processed_ravdess\03-01-03-02-02-02-23.wav,3,"[-386.09637451171875, 46.771514892578125, -2.1680819988250732, 7.804068565368652, 5.4504289627075195, -1.287750244140625, -0.5841052532196045, 1.7409727573394775, -7.240787029266357, 2.223210334777832, 4.459732532501221, 0.4057775139808655, 2.516033172607422, 201.71788024902344, 55.909996032714844, 25.363122940063477, 17.078922271728516, 18.24179458618164, 19.828216552734375, 14.797464370727539, 12.731419563293457, 21.65621566772461, 10.385433197021484, 9.069547653198242, 11.626726150512695, 9.921881675720215, 0.6336209774017334, 0.7138991951942444, 0.7656354308128357, 0.7427645921707153, 0.7251048684120178, 0.7050302624702454, 0.7283341288566589, 0.7406651377677917, 0.6903417110443115, 0.6456404328346252, 0.6094549298286438, 0.5924302935600281, 0.27409735321998596, 0.2839139401912689, 0.3051903545856476, 0.3478679656982422, 0.38017016649246216, 0.4026321470737457, 0.39182019233703613, 0.3662199079990387, 0.36515963077545166, 0.3363151252269745, 0.30813905596733093, 0.28117504715919495, 779.2518482959334, 1163.3388291404171, 1417.730712890625, 2182.4876280408134, 0.022617885044642856, 0.03919238780675555]"
processed_ravdess\03-01-03-01-01-02-14.wav,3,"[-330.2061767578125, 38.01262664794922, -5.451279163360596, 6.791964530944824, -0.6591336131095886, -6.3387956619262695, 0.4531051218509674, -4.465126991271973, 4.198140621185303, 0.36492919921875, -0.6109639406204224, 2.3420305252075195, -4.091922760009766, 188.1911163330078, 45.546958923339844, 25.804698944091797, 24.55331802368164, 17.582670211791992, 22.628253936767578, 17.978578567504883, 17.867389678955078, 12.552908897399902, 10.651514053344727, 10.967970848083496, 9.753007888793945, 15.465362548828125, 0.5076516270637512, 0.5546008348464966, 0.6005310416221619, 0.6953263878822327, 0.7182583212852478, 0.7393093705177307, 0.7064352035522461, 0.687454104423523, 0.6923714280128479, 0.6661955714225769, 0.5790318846702576, 0.48489537835121155, 0.34816065430641174, 0.37365564703941345, 0.39001670479774475, 0.3854845464229584, 0.37575966119766235, 0.37116101384162903, 0.379169225692749, 0.38203275203704834, 0.35281312465667725, 0.31947827339172363, 0.336273193359375, 0.32237544655799866, 1129.094753170445, 1365.638873189255, 2044.0291494693397, 2617.696798422259, 0.029029702240566037, 0.040156249959417724]"
processed_ravdess\03-01-03-02-01-01-07.wav,3,"[-306.05517578125, 67.58319091796875, -9.472887992858887, 9.371169090270996, 9.639628410339355, -12.183492660522461, -11.232831001281738, -7.1583733558654785, -8.281097412109375, 2.976180076599121, -2.8851349353790283, 1.6073338985443115, 7.253859519958496, 190.60853576660156, 43.18702697753906, 29.612262725830078, 23.618820190429688, 20.54960060119629, 26.916065216064453, 17.457225799560547, 15.24974536895752, 15.021313667297363, 13.511968612670898, 12.741721153259277, 13.319143295288086, 9.646675109863281, 0.5108261108398438, 0.5675050020217896, 0.5516723394393921, 0.5939538478851318, 0.5813884735107422, 0.5815088748931885, 0.5685434341430664, 0.5570390820503235, 0.5962660312652588, 0.581725001335144, 0.5398918390274048, 0.48338374495506287, 0.33812597393989563, 0.3723227083683014, 0.3670291006565094, 0.3886517584323883, 0.38918453454971313, 0.4035136103630066, 0.4121217131614685, 0.3794553279876709, 0.34477105736732483, 0.3287775218486786, 0.3217497766017914, 0.3105660378932953, 1635.958761503855, 1203.336066693522, 2901.6903634798728, 2230.0030865121066, 0.05806684763418079, 0.07866596833237001]"
processed_ravdess\03-01-03-02-01-01-10.wav,3,"[-303.37249755859375, 44.909637451171875, -23.09279441833496, 5.63762903213501, 3.271725654602051, -14.791221618652344, -3.511908531188965, -13.574812889099121, -9.530263900756836, 7.989409923553467, -7.5559515953063965, -3.162431478500366, 5.1338300704956055, 155.54818725585938, 41.77069854736328, 35.82366943359375, 20.11713409423828, 17.43180274963379, 26.761877059936523, 13.821404457092285, 21.37234878540039, 17.36199188232422, 10.714149475097656, 14.96379566192627, 12.655413627624512, 10.23383617401123, 0.4654616713523865, 0.5072335004806519, 0.5464687943458557, 0.5639445185661316, 0.6012281179428101, 0.63990718126297, 0.7268006801605225, 0.7261731028556824, 0.6243401765823364, 0.5674322247505188, 0.46028628945350647, 0.4341115355491638, 0.37378814816474915, 0.39377936720848083, 0.4287102222442627, 0.4371049404144287, 0.43821653723716736, 0.4060007929801941, 0.3566942512989044, 0.34485605359077454, 0.3544749915599823, 0.3768552839756012, 0.3411722481250763, 0.3394356966018677, 1106.1049220606026, 969.1482243894557, 2132.7599950583585, 2241.615137494704, 0.023499270519578314, 0.03092535924306805]"
processed_ravdess\03-01-03-02-02-02-16.wav,3,"[-360.771484375, 44.56801223754883, -2.686241626739502, 11.898347854614258, 3.463001251220703, -5.306407451629639, -4.30324649810791, -3.214416980743408, -0.2917579114437103, 8.491349220275879, -1.7808047533035278, 0.8441516757011414, 5.80280876159668, 168.89962768554688, 62.46193313598633, 35.618656158447266, 25.71088218688965, 17.986726760864258, 20.667158126831055, 17.725412368774414, 14.85914421081543, 14.154743194580078, 9.03674602508545, 11.267223358154297, 9.71137523651123, 8.25926685333252, 0.5817904472351074, 0.6090099811553955, 0.6170971989631653, 0.6151589751243591, 0.656834065914154, 0.6802788376808167, 0.6780330538749695, 0.6900668740272522, 0.650091290473938, 0.5993903875350952, 0.6377378106117249, 0.6077096462249756, 0.3032940924167633, 0.340018093585968, 0.37838706374168396, 0.41580507159233093, 0.4263593256473541, 0.42267778515815735, 0.39781612157821655, 0.38508665561676025, 0.3705947995185852, 0.3536795377731323, 0.3232710659503937, 0.2511591911315918, 1271.9523548324162, 1852.8405002121317, 2045.5886468654726, 2847.136100589092, 0.054157536204268296, 0.1159719478763027]"
processed_ravdess\03-01-03-01-02-02-01.wav,3,"[-321.69854736328125, 66.1009292602539, 7.434441566467285, 25.27412986755371, 9.467474937438965, 7.181199550628662, 4.172739505767822, 0.3712385594844818, -6.819523811340332, 2.9722964763641357, 7.178235054016113, 1.957057237625122, 9.100282669067383, 194.549072265625, 69.04841613769531, 23.085987091064453, 22.09777069091797, 19.475818634033203, 18.48420524597168, 13.665332794189453, 13.877610206604004, 19.50006103515625, 11.875568389892578, 11.50425910949707, 12.001036643981934, 9.220873832702637, 0.6002184748649597, 0.6641805768013, 0.6809536218643188, 0.6747226715087891, 0.637616753578186, 0.6552314758300781, 0.6549781560897827, 0.6404181718826294, 0.6489881277084351, 0.606525719165802, 0.6041024327278137, 0.6019888520240784, 0.28383567929267883, 0.31975531578063965, 0.3402723968029022, 0.3886987566947937, 0.4122178852558136, 0.4024077355861664, 0.3997734785079956, 0.39228248596191406, 0.3718736469745636, 0.34448179602622986, 0.29796090722084045, 0.2730904817581177, 926.2713639723046, 1203.5647803081056, 1617.6145935058594, 2143.266996854369, 0.026104736328125, 0.051752166080177076]"
processed_ravdess\03-01-03-01-02-01-11.wav,3,"[-350.42816162109375, 57.959632873535156, 20.12830352783203, 15.04890251159668, 13.17166519165039, 10.093235969543457, 1.9895493984222412, 2.5967507362365723, -1.048849105834961, 2.5943315029144287, 6.418482780456543, 3.310914993286133, 4.479272365570068, 184.2808837890625, 63.883846282958984, 18.162782669067383, 19.18033790588379, 16.741506576538086, 13.078939437866211, 15.607524871826172, 14.077604293823242, 15.117868423461914, 13.48196792602539, 9.815814971923828, 10.333166122436523, 8.322550773620605, 0.5915275812149048, 0.6103053092956543, 0.671878457069397, 0.7331414818763733, 0.6994451284408569, 0.646294355392456, 0.6568824648857117, 0.6728982925415039, 0.6790642142295837, 0.6555230617523193, 0.646080493927002, 0.6066892743110657, 0.31352412700653076, 0.3152928650379181, 0.3468792140483856, 0.3521267771720886, 0.3826478123664856, 0.41255322098731995, 0.4112759530544281, 0.382913738489151, 0.3699060082435608, 0.32866594195365906, 0.29397132992744446, 0.2746015191078186, 1356.0964395446988, 1380.8404430460832, 2072.1385649520985, 2810.7382902341583, 0.03578709511861314, 0.08643747272180148]"
processed_ravdess\03-01-03-02-02-01-11.wav,3,"[-342.05950927734375, 53.24575424194336, 3.3145949840545654, 8.093807220458984, 2.360422372817993, 2.4923930168151855, 2.1487181186676025, 0.22300569713115692, -5.707767963409424, -2.8306734561920166, 2.7245378494262695, 0.8588651418685913, 2.2944495677948, 179.0634765625, 56.3072395324707, 26.694868087768555, 20.56039810180664, 22.957178115844727, 18.682910919189453, 16.316730499267578, 13.16971206665039, 15.843154907226562, 12.66320514678955, 12.046113967895508, 10.660582542419434, 8.337252616882324, 0.4837503135204315, 0.5541774034500122, 0.6232649087905884, 0.6676440238952637, 0.6651980876922607, 0.6225999593734741, 0.6004024147987366, 0.6614190936088562, 0.635676383972168, 0.5597920417785645, 0.5544506311416626, 0.46507126092910767, 0.3545878529548645, 0.37562236189842224, 0.38590508699417114, 0.3917858898639679, 0.41330233216285706, 0.42400577664375305, 0.4184328615665436, 0.3974205255508423, 0.35856276750564575, 0.34620505571365356, 0.3538634777069092, 0.31184276938438416, 1250.3947527929943, 1473.3578345925227, 2054.03548372006, 2611.619801002203, 0.04980176366017964, 0.10796187329117461]"
processed_ravdess\03-01-03-02-01-01-01.wav,3,"[-372.44207763671875, 58.86919403076172, 1.584501028060913, 13.205039978027344, 6.131689548492432, 6.149521350860596, -4.765954971313477, -1.5853551626205444, -3.9175193309783936, -1.8113462924957275, 6.443675518035889, 0.04903090372681618, 5.172772407531738, 188.827880859375, 57.264747619628906, 23.15419578552246, 17.806238174438477, 22.63873863220215, 15.33890438079834, 20.771230697631836, 12.997230529785156, 14.311912536621094, 13.491753578186035, 9.527335166931152, 11.872136116027832, 8.685775756835938, 0.5864836573600769, 0.6076498627662659, 0.6901652216911316, 0.6865680813789368, 0.6794267296791077, 0.7070837020874023, 0.7122063040733337, 0.7218528985977173, 0.6600672602653503, 0.5926508903503418, 0.5906020998954773, 0.5940660238265991, 0.3221761882305145, 0.3328186869621277, 0.3520320653915405, 0.36939865350723267, 0.39991283416748047, 0.386511892080307, 0.3772326707839966, 0.35892003774642944, 0.35686829686164856, 0.3591369092464447, 0.3160502016544342, 0.27809056639671326, 830.5260015799458, 1000.1800437866356, 1508.0013635023586, 1987.3570815149644, 0.01461158608490566, 0.020922049474844388]"
