filepath,emotion,features
processed_emodb\08a05Lc.wav,L,"[-240.46685791015625, 100.72367095947266, -5.022923946380615, 46.1019401550293, -15.592679977416992, 21.742815017700195, -15.077086448669434, 2.927034616470337, -8.326885223388672, -3.8981006145477295, 2.608703136444092, -4.547348499298096, 1.8043787479400635, 85.75445556640625, 55.200843811035156, 39.85658645629883, 33.11713409423828, 30.64278793334961, 16.98887825012207, 19.59600830078125, 14.087943077087402, 10.976468086242676, 13.534019470214844, 10.091719627380371, 8.706480026245117, 12.340974807739258, 0.3651807904243469, 0.3119705617427826, 0.34705260396003723, 0.4122273921966553, 0.39522168040275574, 0.35126394033432007, 0.33048251271247864, 0.37122201919555664, 0.41536062955856323, 0.4470452666282654, 0.45377251505851746, 0.4108784794807434, 0.3473309874534607, 0.3251447379589081, 0.3697899878025055, 0.3895975649356842, 0.3787498474121094, 0.38710659742355347, 0.351284384727478, 0.3725840449333191, 0.3878820538520813, 0.37518489360809326, 0.34314364194869995, 0.32886379957199097, 1258.2802055722539, 1072.9683510184805, 2526.165940089779, 2046.1445425436305, 0.021136373446132596, 0.028267217393329044]"
processed_emodb\09b09Nd.wav,N,"[-215.6738739013672, 125.40533447265625, -10.918488502502441, 62.993473052978516, -0.29160627722740173, 19.33880043029785, -3.8588814735412598, -2.4425833225250244, -2.0988361835479736, 1.6105276346206665, -0.7946257591247559, -2.650862455368042, 3.0052878856658936, 91.29476928710938, 45.40266036987305, 32.949649810791016, 31.558563232421875, 25.230398178100586, 21.637123107910156, 20.939498901367188, 16.53690528869629, 11.505427360534668, 13.754767417907715, 10.859735488891602, 10.296086311340332, 14.802084922790527, 0.34966519474983215, 0.3749679625034332, 0.46622881293296814, 0.6300930976867676, 0.5613934397697449, 0.47707465291023254, 0.4599049687385559, 0.400923490524292, 0.3511292040348053, 0.3510901629924774, 0.3373787999153137, 0.33640581369400024, 0.3055419325828552, 0.288903146982193, 0.31376463174819946, 0.357605516910553, 0.33622413873672485, 0.35843536257743835, 0.36747950315475464, 0.3348550796508789, 0.339023232460022, 0.33454591035842896, 0.2842881977558136, 0.2828108072280884, 1185.858418318793, 936.9051173497016, 2463.435246394231, 1836.3734099444707, 0.019660623664529916, 0.02463371022069966]"
processed_emodb\16b03La.wav,L,"[-216.8795166015625, 103.58524322509766, -37.31881332397461, 59.371463775634766, -25.406536102294922, 14.881114959716797, -7.180385589599609, -14.0218505859375, -9.724416732788086, 5.494077682495117, 4.085026741027832, -5.9338154792785645, -4.783142566680908, 81.96380615234375, 43.3624153137207, 33.09996795654297, 28.168210983276367, 24.655071258544922, 21.888748168945312, 15.762572288513184, 15.991032600402832, 11.752762794494629, 13.542362213134766, 10.400792121887207, 7.553950309753418, 12.270748138427734, 0.2972366213798523, 0.3129667043685913, 0.33821967244148254, 0.34006696939468384, 0.31573694944381714, 0.3131753206253052, 0.3503352701663971, 0.3504319489002228, 0.34609830379486084, 0.3348614573478699, 0.30769243836402893, 0.3078504502773285, 0.3217383325099945, 0.3439566493034363, 0.3782272934913635, 0.36024925112724304, 0.3403497636318207, 0.3390141427516937, 0.3613698482513428, 0.35638123750686646, 0.3639082908630371, 0.3463851511478424, 0.3210150897502899, 0.34741532802581787, 1695.7203210413834, 912.6723674426361, 3603.655795393319, 1315.236051644859, 0.059177442528735635, 0.051471466366149334]"
processed_emodb\11b09Td.wav,T,"[-294.6212158203125, 122.23941040039062, -3.833486795425415, 50.44727325439453, 5.904903411865234, 25.55474281311035, 9.33874225616455, 1.9078177213668823, -3.25311279296875, 3.430584192276001, 8.857307434082031, 6.161360740661621, 0.07505100220441818, 130.6905059814453, 49.24805450439453, 35.661888122558594, 33.863643646240234, 23.73793601989746, 16.792816162109375, 13.735838890075684, 13.490280151367188, 12.998745918273926, 11.021390914916992, 12.039657592773438, 6.406585693359375, 8.160176277160645, 0.4736361503601074, 0.4854239821434021, 0.5191818475723267, 0.5757075548171997, 0.6412546634674072, 0.6526961326599121, 0.6730919480323792, 0.70445716381073, 0.7238379716873169, 0.7305331826210022, 0.6020498871803284, 0.49299007654190063, 0.3178046941757202, 0.3446607291698456, 0.3774120807647705, 0.3770148754119873, 0.3539997935295105, 0.36119911074638367, 0.35707128047943115, 0.32280468940734863, 0.23689734935760498, 0.2632761597633362, 0.27806615829467773, 0.27976930141448975, 787.1107623898071, 811.8325953634461, 1484.3622722896919, 1659.714884002407, 0.012806390699052133, 0.0267043745570185]"
processed_emodb\11b01Eb.wav,E,"[-279.5440368652344, 94.14724731445312, -13.702638626098633, 57.96018981933594, -3.545485496520996, 26.80541229248047, -5.0650248527526855, -0.0706164613366127, -6.185324668884277, -2.712812662124634, -4.35467004776001, -4.769404411315918, 3.114919900894165, 132.93014526367188, 51.72257995605469, 37.60245895385742, 28.686777114868164, 27.784963607788086, 18.778928756713867, 18.130830764770508, 13.94749927520752, 13.82788372039795, 12.22768783569336, 11.823421478271484, 10.421719551086426, 8.836587905883789, 0.45885634422302246, 0.4856155812740326, 0.49884524941444397, 0.48830297589302063, 0.46574991941452026, 0.4404403269290924, 0.4259054958820343, 0.4833325147628784, 0.5537818670272827, 0.5394759774208069, 0.5010901689529419, 0.4473414123058319, 0.32039904594421387, 0.33271345496177673, 0.3431737720966339, 0.3510743975639343, 0.37026941776275635, 0.38463443517684937, 0.3571586608886719, 0.35007089376449585, 0.36079663038253784, 0.33592498302459717, 0.3312116861343384, 0.3237895965576172, 1627.586358210814, 1050.7105161490001, 3288.870516690341, 1529.4308204910087, 0.06935073390151515, 0.08827747919799839]"
processed_emodb\11a02Fb.wav,F,"[-247.32525634765625, 114.01399230957031, -34.59105682373047, 36.18189239501953, -16.686525344848633, 18.198829650878906, -16.07016372680664, 11.790441513061523, -10.471697807312012, -4.718201637268066, 5.271271228790283, -8.551224708557129, 2.5772643089294434, 114.59303283691406, 47.71722412109375, 39.611019134521484, 29.9897518157959, 34.848331451416016, 20.232627868652344, 24.757295608520508, 14.1631498336792, 14.012494087219238, 14.949092864990234, 13.038493156433105, 10.945096969604492, 7.118126392364502, 0.44056782126426697, 0.3963419795036316, 0.39350512623786926, 0.4460565149784088, 0.47329336404800415, 0.48422959446907043, 0.4571109712123871, 0.449940025806427, 0.46081843972206116, 0.41248518228530884, 0.40492233633995056, 0.4703826308250427, 0.35235440731048584, 0.35776615142822266, 0.3480047583580017, 0.3756355941295624, 0.396452397108078, 0.3870853781700134, 0.3678569495677948, 0.368476927280426, 0.38039490580558777, 0.32504433393478394, 0.3059224486351013, 0.3620219826698303, 1295.201251040391, 1042.9348536576683, 2499.9489524147725, 1909.6709668478245, 0.025866223620129872, 0.030072505207916093]"
processed_emodb\13b09Ab.wav,A,"[-192.14846801757812, 99.43846893310547, -26.189945220947266, 55.14027404785156, -10.524955749511719, 25.51926612854004, -9.43709945678711, 11.947651863098145, -4.888426303863525, -2.814906597137451, 3.7891037464141846, -3.1206343173980713, -0.3758038580417633, 122.53076934814453, 35.616729736328125, 35.93110656738281, 21.400888442993164, 19.6166934967041, 15.375069618225098, 15.720864295959473, 9.238123893737793, 11.394610404968262, 10.635075569152832, 7.315093517303467, 8.959083557128906, 11.881928443908691, 0.3807174563407898, 0.3108134865760803, 0.3052009046077728, 0.32167744636535645, 0.332626074552536, 0.3493032455444336, 0.3712403178215027, 0.38131198287010193, 0.4057624936103821, 0.4630454480648041, 0.5828473567962646, 0.5422585606575012, 0.30668243765830994, 0.32630395889282227, 0.3499220311641693, 0.3714778423309326, 0.38347408175468445, 0.3744639754295349, 0.3823988735675812, 0.37110641598701477, 0.357408732175827, 0.3266342580318451, 0.3395722508430481, 0.31734248995780945, 1670.4557389821784, 953.9965289055142, 3377.1240234375, 1675.0326899339732, 0.06962807158119658, 0.07080030807263239]"
processed_emodb\03a05Wb.wav,W,"[-239.02532958984375, 93.94620513916016, -59.39531707763672, 38.125877380371094, -32.92079162597656, 17.067323684692383, -22.106191635131836, -3.3878026008605957, -17.227230072021484, -9.532552719116211, 2.1563072204589844, -6.267943859100342, 0.7206017971038818, 113.84294128417969, 50.91200637817383, 43.58302307128906, 29.617029190063477, 34.071258544921875, 19.481935501098633, 19.59633445739746, 17.18132781982422, 13.90107250213623, 13.566075325012207, 14.615071296691895, 10.77150821685791, 12.979974746704102, 0.38612207770347595, 0.4179653823375702, 0.430330365896225, 0.38642844557762146, 0.3952997028827667, 0.405178040266037, 0.35786929726600647, 0.33537572622299194, 0.3544192612171173, 0.4041539132595062, 0.4029887616634369, 0.3852865695953369, 0.3094172477722168, 0.3131940960884094, 0.32220134139060974, 0.31222760677337646, 0.33522650599479675, 0.3570215106010437, 0.33622533082962036, 0.32934799790382385, 0.3571311831474304, 0.3540135324001312, 0.3314444124698639, 0.3209809958934784, 2045.0956577665793, 994.9623897855918, 3718.8514709472656, 1457.062877972797, 0.10623550415039062, 0.09066785677871649]"
processed_emodb\14a01Na.wav,N,"[-230.96205139160156, 136.33462524414062, -9.102972984313965, 49.56678009033203, -24.441123962402344, 30.369171142578125, -7.678776264190674, -2.4103758335113525, -7.930066108703613, -4.269580841064453, 12.52439022064209, 1.223196268081665, 4.709181308746338, 102.0874252319336, 57.330867767333984, 29.038726806640625, 28.010215759277344, 25.32975959777832, 18.84450340270996, 15.11863899230957, 15.347014427185059, 12.252206802368164, 15.283037185668945, 9.579724311828613, 7.986094951629639, 10.780900955200195, 0.45313936471939087, 0.5452010631561279, 0.5814988017082214, 0.5627050995826721, 0.5974898338317871, 0.6001265645027161, 0.5400111079216003, 0.4093848466873169, 0.35686051845550537, 0.37806761264801025, 0.3706206679344177, 0.3998768627643585, 0.2963608205318451, 0.3575620651245117, 0.3672468662261963, 0.3299176096916199, 0.35469499230384827, 0.368257075548172, 0.39946532249450684, 0.37145835161209106, 0.34386321902275085, 0.31957778334617615, 0.2940784990787506, 0.32043546438217163, 998.3632359969405, 806.6778868735663, 1917.3779296875, 1680.3318485694751, 0.012165178571428572, 0.013125529079320401]"
processed_emodb\14b10Nb.wav,N,"[-204.5667724609375, 130.8227081298828, -7.047501087188721, 65.89098358154297, -9.08895206451416, 18.85411262512207, -11.911333084106445, -2.068831205368042, -7.608476638793945, -12.993460655212402, -0.6910560727119446, -4.178823471069336, 0.943183183670044, 69.50355529785156, 36.2419548034668, 25.335037231445312, 24.2970027923584, 20.154142379760742, 19.092269897460938, 18.966754913330078, 15.594284057617188, 12.87195110321045, 14.269561767578125, 9.88308334350586, 7.678194999694824, 9.879887580871582, 0.2799765467643738, 0.27361544966697693, 0.28869760036468506, 0.3872867524623871, 0.5864570140838623, 0.4838348627090454, 0.3029899597167969, 0.25948894023895264, 0.3464103639125824, 0.4138403832912445, 0.35401982069015503, 0.34128203988075256, 0.29507508873939514, 0.3553083837032318, 0.3351386785507202, 0.32738959789276123, 0.38811933994293213, 0.3747730851173401, 0.33084970712661743, 0.32979995012283325, 0.36665254831314087, 0.4055013656616211, 0.3282049894332886, 0.2931548058986664, 1070.4683873495155, 737.0261187635746, 2380.8706219276687, 1716.1212833812692, 0.01670580231741573, 0.009597523936362195]"
processed_emodb\13b09Wa.wav,W,"[-246.57650756835938, 88.22900390625, -54.441566467285156, 18.13056182861328, -17.271099090576172, -2.954014778137207, -26.206575393676758, -2.9905269145965576, -17.12621307373047, -13.084280014038086, -5.023205757141113, -2.7534091472625732, -4.728904724121094, 99.6129150390625, 31.667617797851562, 46.269256591796875, 26.245868682861328, 23.382984161376953, 19.607051849365234, 15.22196102142334, 13.51755428314209, 14.012487411499023, 14.812858581542969, 9.526973724365234, 9.651912689208984, 11.047699928283691, 0.297071248292923, 0.3211250901222229, 0.3338890075683594, 0.31091660261154175, 0.3860325515270233, 0.4193243682384491, 0.4237833321094513, 0.3924204111099243, 0.27214816212654114, 0.19120001792907715, 0.2090928703546524, 0.2899476885795593, 0.3244468867778778, 0.3233472406864166, 0.313037633895874, 0.3077837824821472, 0.3471342921257019, 0.3504889905452728, 0.352683424949646, 0.3939771354198456, 0.3170609474182129, 0.2644891142845154, 0.26196709275245667, 0.3169593811035156, 1760.7640609024909, 648.3949998992587, 3229.0487436147837, 1150.5384296489153, 0.0936279296875, 0.07618841860639794]"
processed_emodb\15b01Wc.wav,W,"[-194.7700653076172, 72.76374053955078, -40.793827056884766, 63.62949752807617, -9.988805770874023, 21.03748893737793, -25.814533233642578, 6.926377773284912, -13.341748237609863, -9.980822563171387, -9.113492012023926, -9.048613548278809, 3.7387447357177734, 115.99854278564453, 50.84463119506836, 37.953365325927734, 30.416234970092773, 31.095956802368164, 20.120925903320312, 20.1087589263916, 13.890303611755371, 13.6771879196167, 14.774993896484375, 12.7466459274292, 12.131848335266113, 10.169569969177246, 0.3231106400489807, 0.26633748412132263, 0.32517629861831665, 0.42916956543922424, 0.46100595593452454, 0.42809656262397766, 0.3602713942527771, 0.35095012187957764, 0.4182945191860199, 0.4072202742099762, 0.35610589385032654, 0.34228792786598206, 0.318384051322937, 0.2619168758392334, 0.32083791494369507, 0.3677210509777069, 0.342820405960083, 0.33763787150382996, 0.32404884696006775, 0.3392486870288849, 0.37707188725471497, 0.3560226261615753, 0.30227816104888916, 0.29420894384384155, 2282.899330969179, 1240.525550989468, 4077.4253443667762, 1673.8369099956403, 0.1281395627741228, 0.13229290475327768]"
processed_emodb\09a01Wb.wav,W,"[-259.09014892578125, 101.27922058105469, -74.9588623046875, 43.086429595947266, -22.17046546936035, 13.967745780944824, -11.65642261505127, -12.160959243774414, -2.9712908267974854, -0.21163149178028107, 0.1672249585390091, 2.3224291801452637, 3.0489449501037598, 124.87020111083984, 41.01919937133789, 64.4911880493164, 26.435039520263672, 29.354557037353516, 21.206586837768555, 16.003175735473633, 16.597057342529297, 14.06520938873291, 17.532888412475586, 11.707415580749512, 8.437929153442383, 15.15259838104248, 0.5294307470321655, 0.5307531952857971, 0.536858081817627, 0.5562965273857117, 0.5328735709190369, 0.5387777090072632, 0.5107182860374451, 0.5374494791030884, 0.5812429189682007, 0.5660718679428101, 0.47298550605773926, 0.45340460538864136, 0.32766374945640564, 0.343051552772522, 0.3575291931629181, 0.3601827323436737, 0.3516785502433777, 0.3693287968635559, 0.36126846075057983, 0.36452364921569824, 0.3377540409564972, 0.31974175572395325, 0.3147813081741333, 0.3028818964958191, 1150.4753782140142, 833.2510502275243, 2314.3828520903717, 1729.087328465162, 0.01441089527027027, 0.025377074782810764]"
processed_emodb\13b02Fb.wav,F,"[-245.92095947265625, 106.4671401977539, -16.426668167114258, 34.85563278198242, -13.409482955932617, 15.879554748535156, -12.041081428527832, 5.83112907409668, -13.823472023010254, -1.2000221014022827, 4.167525291442871, -3.30325984954834, -0.2821193337440491, 95.75116729736328, 41.44111633300781, 38.65574264526367, 24.79468536376953, 23.957956314086914, 17.357276916503906, 22.129329681396484, 13.36390209197998, 14.140594482421875, 15.205790519714355, 9.030641555786133, 8.01182746887207, 10.864847183227539, 0.3389599621295929, 0.3686940371990204, 0.37951040267944336, 0.3810715079307556, 0.4347357451915741, 0.4215616285800934, 0.4488385021686554, 0.5259565711021423, 0.5673572421073914, 0.5139325857162476, 0.4050725996494293, 0.36358270049095154, 0.32340529561042786, 0.35458412766456604, 0.3676769435405731, 0.36333292722702026, 0.387934148311615, 0.3863750398159027, 0.39114445447921753, 0.38929030299186707, 0.37821701169013977, 0.38741159439086914, 0.34620603919029236, 0.33762842416763306, 1015.0055155982191, 574.9162638738112, 2276.160733011745, 1757.9500416458084, 0.014514078229865772, 0.015493968382665386]"
processed_emodb\13a01Ac.wav,A,"[-228.8807373046875, 105.26410675048828, -46.15656661987305, 50.906211853027344, -29.69694709777832, 26.698440551757812, -12.8844633102417, 12.323561668395996, -8.72338581085205, -5.762414455413818, -3.532411575317383, -2.428649663925171, 4.459412574768066, 103.6968994140625, 45.454246520996094, 38.09075164794922, 27.438854217529297, 25.433574676513672, 17.200437545776367, 17.777311325073242, 12.158574104309082, 14.379880905151367, 13.254096031188965, 7.388547420501709, 8.661959648132324, 12.684223175048828, 0.5376633405685425, 0.5824504494667053, 0.5071805119514465, 0.44132617115974426, 0.3603372573852539, 0.3513409495353699, 0.3469640612602234, 0.33115899562835693, 0.3246197998523712, 0.3134152591228485, 0.3379078805446625, 0.41839146614074707, 0.35692527890205383, 0.3541301190853119, 0.34183269739151, 0.3592236340045929, 0.3424210548400879, 0.373165488243103, 0.3592935800552368, 0.3412950932979584, 0.3460041880607605, 0.3419318199157715, 0.3290468156337738, 0.33948808908462524, 1732.9288669250286, 1001.99723358307, 3455.2874396829043, 1616.7059796766664, 0.07006117876838236, 0.08721000044248886]"
