image_path,calories,protein,carbs,fat
../food-101/train\apple_pie\1450514.jpg,325.33,1.72,41.34,15.54
../food-101/train\apple_pie\1456028.jpg,297.71,1.92,45.51,14.64
../food-101/train\apple_pie\1456379.jpg,284.02,2.11,43.16,13.43
../food-101/train\apple_pie\1464079.jpg,320.87,1.91,48.13,12.52
../food-101/train\apple_pie\1466791.jpg,285.41,2.01,39.91,13.53
../food-101/train\apple_pie\1481550.jpg,279.42,1.95,36.38,12.5
../food-101/train\apple_pie\1484086.jpg,280.04,1.78,37.05,16.01
../food-101/train\apple_pie\1486972.jpg,304.13,1.94,49.32,12.02
../food-101/train\apple_pie\1487150.jpg,286.32,1.74,36.1,12.26
../food-101/train\apple_pie\1488583.jpg,313.0,1.72,45.1,14.54
../food-101/train\apple_pie\1491146.jpg,309.2,2.23,34.62,14.71
../food-101/train\apple_pie\1498817.jpg,286.5,2.24,45.55,15.49
../food-101/train\apple_pie\1503274.jpg,323.74,2.02,49.95,15.78
../food-101/train\apple_pie\1528187.jpg,298.67,2.29,41.07,15.04
../food-101/train\apple_pie\1528623.jpg,267.24,2.27,46.56,15.98
../food-101/train\apple_pie\1544507.jpg,268.42,1.78,49.76,14.99
../food-101/train\apple_pie\1547651.jpg,290.76,2.22,37.61,13.32
../food-101/train\apple_pie\1550786.jpg,307.0,2.11,48.38,12.25
../food-101/train\apple_pie\1558003.jpg,270.18,2.09,38.99,13.97
../food-101/train\apple_pie\1558101.jpg,307.11,2.08,45.97,15.06
../food-101/train\apple_pie\156078.jpg,268.37,1.76,48.03,15.32
../food-101/train\apple_pie\157083.jpg,306.9,1.76,48.27,13.25
../food-101/train\apple_pie\1575505.jpg,287.42,2.27,41.2,13.59
../food-101/train\apple_pie\1580276.jpg,271.76,2.27,48.44,15.05
../food-101/train\apple_pie\1581291.jpg,266.85,1.77,44.23,13.95
../food-101/train\apple_pie\1581853.jpg,308.35,2.15,40.99,12.3
../food-101/train\apple_pie\1586889.jpg,283.39,1.99,36.61,14.98
../food-101/train\apple_pie\1595134.jpg,311.47,2.05,43.08,12.72
../food-101/train\apple_pie\1596650.jpg,310.95,1.94,46.19,13.24
../food-101/train\apple_pie\1596752.jpg,308.49,2.01,37.36,13.44
../food-101/train\apple_pie\1620714.jpg,280.45,2.04,40.1,12.22
../food-101/train\apple_pie\1622276.jpg,289.74,1.83,38.18,13.32
../food-101/train\apple_pie\1633183.jpg,315.17,1.72,41.48,14.42
../food-101/train\apple_pie\1633812.jpg,272.37,2.08,35.17,14.83
../food-101/train\apple_pie\1646808.jpg,307.27,1.86,43.29,11.93
../food-101/train\apple_pie\1648647.jpg,318.83,1.91,39.41,14.71
../food-101/train\apple_pie\1659828.jpg,278.03,2.23,34.49,15.02
../food-101/train\apple_pie\1667135.jpg,285.61,1.79,36.92,13.65
../food-101/train\apple_pie\1670009.jpg,305.76,2.24,34.08,15.14
../food-101/train\apple_pie\1677760.jpg,295.18,2.22,43.14,12.19
../food-101/train\apple_pie\1689411.jpg,296.78,1.75,35.77,15.68
../food-101/train\apple_pie\1698156.jpg,315.05,2.25,34.67,15.33
../food-101/train\apple_pie\1700578.jpg,273.48,1.73,35.56,15.21
../food-101/train\apple_pie\1710288.jpg,314.0,1.98,38.49,12.98
../food-101/train\apple_pie\1717754.jpg,285.85,2.11,36.13,13.14
../food-101/train\apple_pie\1725573.jpg,277.71,2.11,37.07,13.41
../food-101/train\apple_pie\1725747.jpg,276.08,1.71,43.78,12.17
../food-101/train\apple_pie\1727085.jpg,295.83,1.78,41.98,13.23
../food-101/train\apple_pie\1735072.jpg,317.9,1.87,45.19,12.08
../food-101/train\apple_pie\1739519.jpg,286.23,1.96,41.48,13.33
../food-101/train\apple_pie\1753164.jpg,297.64,1.95,45.21,13.16
../food-101/train\apple_pie\1753171.jpg,289.68,1.7,35.21,13.43
../food-101/train\apple_pie\1753935.jpg,287.62,1.96,35.58,15.71
../food-101/train\apple_pie\1756344.jpg,293.06,1.96,43.72,12.99
../food-101/train\apple_pie\1764457.jpg,305.65,1.79,43.44,13.0
../food-101/train\apple_pie\1766910.jpg,283.63,1.97,48.17,12.29
../food-101/train\apple_pie\1767333.jpg,316.7,2.06,35.16,11.96
../food-101/train\apple_pie\1771395.jpg,266.89,1.91,48.52,11.98
../food-101/train\apple_pie\1786261.jpg,303.75,2.02,43.84,12.3
../food-101/train\apple_pie\1789100.jpg,284.46,2.03,43.1,14.68
../food-101/train\apple_pie\1790730.jpg,271.97,1.98,40.55,13.06
../food-101/train\apple_pie\1810149.jpg,298.82,2.08,38.45,14.69
../food-101/train\apple_pie\1815972.jpg,282.66,1.74,48.02,14.14
../food-101/train\apple_pie\1816741.jpg,276.55,1.8,45.7,14.87
../food-101/train\apple_pie\1818676.jpg,303.32,2.15,39.37,15.27
../food-101/train\apple_pie\1819763.jpg,311.74,1.98,49.36,14.8
../food-101/train\apple_pie\1820074.jpg,270.47,1.97,49.7,13.83
../food-101/train\apple_pie\1822764.jpg,314.54,1.82,35.59,13.18
../food-101/train\apple_pie\182745.jpg,284.29,2.01,34.5,12.76
../food-101/train\apple_pie\1830100.jpg,323.53,1.95,40.13,13.89
../food-101/train\apple_pie\1830215.jpg,297.63,2.06,35.65,15.35
../food-101/train\apple_pie\1830582.jpg,301.73,1.73,46.54,12.43
../food-101/train\apple_pie\1840575.jpg,286.77,2.06,39.28,12.08
../food-101/train\apple_pie\1847944.jpg,281.91,1.82,39.23,14.14
../food-101/train\apple_pie\185537.jpg,308.73,1.88,40.67,14.19
../food-101/train\apple_pie\1873576.jpg,268.85,2.24,41.75,12.37
../food-101/train\apple_pie\1874318.jpg,287.72,1.74,43.86,15.2
../food-101/train\apple_pie\1874325.jpg,297.95,1.9,46.37,12.6
../food-101/train\apple_pie\1879193.jpg,311.85,2.16,43.98,15.8
../food-101/train\apple_pie\1886600.jpg,306.51,2.26,40.25,12.09
../food-101/train\apple_pie\1886694.jpg,287.33,2.19,43.67,15.64
../food-101/train\apple_pie\1895811.jpg,290.96,1.98,39.11,14.84
../food-101/train\apple_pie\1897389.jpg,317.64,2.13,38.51,12.27
../food-101/train\apple_pie\1899134.jpg,280.38,2.25,38.47,13.4
../food-101/train\apple_pie\1914188.jpg,305.42,2.14,37.79,14.56
../food-101/train\apple_pie\1923768.jpg,272.76,1.89,42.93,15.59
../food-101/train\apple_pie\1931301.jpg,292.46,2.01,43.69,12.33
../food-101/train\apple_pie\1936913.jpg,287.34,1.88,46.52,12.49
../food-101/train\apple_pie\1939853.jpg,277.48,2.23,46.5,14.08
../food-101/train\apple_pie\1941412.jpg,320.9,1.99,39.17,12.4
../food-101/train\apple_pie\1944962.jpg,301.75,1.88,34.43,13.73
../food-101/train\apple_pie\1946376.jpg,322.42,1.89,42.72,14.14
../food-101/train\apple_pie\195087.jpg,278.27,1.71,35.0,13.8
../food-101/train\apple_pie\1954841.jpg,309.57,2.17,40.47,16.01
../food-101/train\apple_pie\1963597.jpg,293.32,1.99,50.14,13.87
../food-101/train\apple_pie\1969851.jpg,302.66,2.16,35.68,13.93
../food-101/train\apple_pie\1977565.jpg,285.44,2.02,44.05,14.89
../food-101/train\apple_pie\1984895.jpg,314.25,2.0,33.99,11.97
../food-101/train\apple_pie\1988310.jpg,267.29,2.11,33.96,14.72
../food-101/train\apple_pie\1990658.jpg,319.32,1.73,48.1,13.36
../food-101/train\apple_pie\1994318.jpg,291.46,2.01,45.75,12.86
../food-101/train\apple_pie\1995380.jpg,300.72,1.95,43.9,12.76
../food-101/train\apple_pie\2004963.jpg,298.63,1.73,36.17,15.03
../food-101/train\apple_pie\2008772.jpg,280.11,1.76,45.04,13.75
../food-101/train\apple_pie\2012973.jpg,316.66,1.82,42.57,14.82
../food-101/train\apple_pie\2023705.jpg,286.67,1.75,35.34,12.5
../food-101/train\apple_pie\202741.jpg,323.18,1.88,39.07,15.22
../food-101/train\apple_pie\2030311.jpg,309.21,2.11,34.23,12.26
../food-101/train\apple_pie\2034923.jpg,290.94,2.0,34.16,13.65
../food-101/train\apple_pie\2047916.jpg,291.93,1.75,39.47,13.59
../food-101/train\apple_pie\2051864.jpg,309.34,2.13,39.14,15.94
../food-101/train\apple_pie\205716.jpg,267.23,2.12,42.34,14.28
../food-101/train\apple_pie\2067073.jpg,318.07,1.95,42.96,12.51
../food-101/train\apple_pie\2068700.jpg,282.86,2.14,49.88,14.95
../food-101/train\apple_pie\2074865.jpg,304.6,1.93,38.2,13.69
../food-101/train\apple_pie\2075376.jpg,323.87,2.16,44.15,11.98
../food-101/train\apple_pie\208041.jpg,318.87,2.21,41.65,15.91
../food-101/train\apple_pie\2086645.jpg,285.06,1.73,49.75,13.68
../food-101/train\apple_pie\2088064.jpg,299.58,1.95,43.89,12.2
../food-101/train\apple_pie\2101662.jpg,323.3,1.77,48.18,12.44
../food-101/train\apple_pie\2106005.jpg,293.47,2.06,34.98,12.67
../food-101/train\apple_pie\21063.jpg,292.44,2.27,49.39,15.78
../food-101/train\apple_pie\2110106.jpg,324.09,1.75,44.41,15.76
../food-101/train\apple_pie\2111966.jpg,308.31,1.87,50.04,13.31
../food-101/train\apple_pie\2126901.jpg,321.39,1.73,44.86,12.97
../food-101/train\apple_pie\2132230.jpg,289.41,2.21,49.77,14.25
../food-101/train\apple_pie\2133067.jpg,301.38,2.22,34.23,12.54
../food-101/train\apple_pie\2143318.jpg,297.72,2.08,49.3,14.5
../food-101/train\apple_pie\214334.jpg,296.91,1.87,38.4,12.66
../food-101/train\apple_pie\2151461.jpg,288.27,1.94,46.07,15.91
../food-101/train\apple_pie\2153869.jpg,273.35,2.27,47.61,15.56
../food-101/train\apple_pie\2157956.jpg,296.44,2.13,42.42,12.63
../food-101/train\apple_pie\2163544.jpg,323.75,2.08,47.99,12.34
../food-101/train\apple_pie\2171324.jpg,299.08,2.1,37.59,13.44
../food-101/train\apple_pie\2178254.jpg,321.52,2.24,48.81,13.09
../food-101/train\apple_pie\2195793.jpg,305.49,1.82,39.94,12.01
../food-101/train\apple_pie\2200328.jpg,297.63,1.83,37.69,12.75
../food-101/train\apple_pie\2202694.jpg,269.46,1.97,43.7,13.45
../food-101/train\apple_pie\2205061.jpg,274.81,1.88,46.6,13.81
../food-101/train\apple_pie\222074.jpg,318.42,2.01,42.03,12.62
../food-101/train\apple_pie\2223296.jpg,293.4,2.28,46.13,13.97
../food-101/train\apple_pie\2223847.jpg,267.1,1.77,46.85,13.4
../food-101/train\apple_pie\2224273.jpg,274.28,1.82,34.79,12.61
../food-101/train\apple_pie\2231842.jpg,283.9,2.04,47.65,14.6
../food-101/train\apple_pie\2235547.jpg,307.59,1.73,33.65,14.83
../food-101/train\apple_pie\2235729.jpg,288.58,2.09,39.0,14.61
../food-101/train\apple_pie\2239083.jpg,280.23,2.07,45.85,15.68
../food-101/train\apple_pie\2245633.jpg,286.55,1.88,36.17,13.87
../food-101/train\apple_pie\2245635.jpg,299.79,1.76,45.87,13.84
../food-101/train\apple_pie\2248020.jpg,314.25,2.15,35.62,12.16
../food-101/train\apple_pie\2267350.jpg,274.88,1.99,38.32,12.01
../food-101/train\apple_pie\2288697.jpg,291.95,1.98,36.84,14.02
../food-101/train\apple_pie\2298862.jpg,276.0,1.76,38.9,13.03
../food-101/train\apple_pie\2302866.jpg,291.31,1.89,35.9,13.76
../food-101/train\apple_pie\2303859.jpg,273.99,2.04,40.3,12.31
../food-101/train\apple_pie\2306493.jpg,274.61,2.04,33.99,14.28
../food-101/train\apple_pie\2320000.jpg,321.94,2.28,38.59,14.57
../food-101/train\apple_pie\2323355.jpg,276.25,2.07,37.49,14.82
../food-101/train\apple_pie\2328227.jpg,275.91,1.9,38.91,14.24
../food-101/train\apple_pie\2335873.jpg,302.54,2.22,45.41,12.64
../food-101/train\apple_pie\2337097.jpg,282.19,2.03,38.95,14.19
../food-101/train\apple_pie\2337652.jpg,293.17,1.83,39.5,15.74
../food-101/train\apple_pie\2339010.jpg,289.93,2.13,48.12,15.89
../food-101/train\apple_pie\2345199.jpg,283.63,1.9,40.2,16.03
../food-101/train\apple_pie\2347111.jpg,279.62,1.99,35.66,13.49
../food-101/train\apple_pie\2348133.jpg,303.26,1.84,43.44,15.53
../food-101/train\apple_pie\235537.jpg,268.31,2.1,47.68,14.61
../food-101/train\apple_pie\2361153.jpg,308.57,2.16,37.82,14.14
../food-101/train\apple_pie\2364059.jpg,319.77,1.88,35.81,14.63
../food-101/train\apple_pie\2369640.jpg,299.48,1.71,46.02,13.06
../food-101/train\apple_pie\236966.jpg,301.08,2.25,35.06,15.05
../food-101/train\apple_pie\2379223.jpg,298.33,1.88,39.35,15.95
../food-101/train\apple_pie\2383378.jpg,306.98,1.93,35.56,13.0
../food-101/train\apple_pie\238868.jpg,300.92,1.73,44.12,13.3
../food-101/train\apple_pie\23893.jpg,280.71,1.97,44.18,14.26
../food-101/train\apple_pie\2391509.jpg,324.52,2.03,35.48,14.48
../food-101/train\apple_pie\2400434.jpg,292.12,1.83,42.18,13.85
../food-101/train\apple_pie\2408052.jpg,276.05,1.99,38.62,14.34
../food-101/train\apple_pie\2412284.jpg,316.71,1.91,34.78,15.28
../food-101/train\apple_pie\2416573.jpg,322.55,1.98,41.28,14.58
../food-101/train\apple_pie\2421227.jpg,324.06,2.21,45.6,12.59
../food-101/train\apple_pie\2434963.jpg,292.32,2.08,44.58,13.18
../food-101/train\apple_pie\2439188.jpg,318.27,2.02,48.62,14.34
../food-101/train\apple_pie\2447106.jpg,299.37,1.97,44.44,12.04
../food-101/train\apple_pie\2447421.jpg,266.81,1.71,40.7,15.67
../food-101/train\apple_pie\2451702.jpg,277.74,2.06,39.93,14.15
../food-101/train\apple_pie\2453243.jpg,280.93,2.16,41.9,15.59
../food-101/train\apple_pie\245712.jpg,302.18,1.73,37.73,14.23
../food-101/train\apple_pie\2458159.jpg,306.7,2.09,40.87,15.89
../food-101/train\apple_pie\2479319.jpg,312.5,2.08,41.59,13.72
../food-101/train\apple_pie\2480328.jpg,307.67,1.95,39.35,15.31
../food-101/train\apple_pie\2485958.jpg,310.85,1.93,48.36,14.96
../food-101/train\apple_pie\2486622.jpg,302.41,2.03,39.92,12.49
../food-101/train\apple_pie\2490410.jpg,281.28,2.05,42.33,13.82
../food-101/train\apple_pie\2510497.jpg,317.8,2.13,45.8,13.19
../food-101/train\apple_pie\2517642.jpg,324.55,1.71,36.15,12.44
../food-101/train\apple_pie\2518174.jpg,306.07,2.11,41.62,14.09
../food-101/train\apple_pie\2519446.jpg,280.23,1.8,41.62,16.09
../food-101/train\apple_pie\2520241.jpg,297.92,1.72,41.94,15.44
../food-101/train\apple_pie\2520431.jpg,284.05,2.02,39.93,12.03
../food-101/train\apple_pie\2523745.jpg,276.06,2.04,41.74,14.67
../food-101/train\apple_pie\2527163.jpg,323.54,1.73,36.29,13.2
../food-101/train\apple_pie\2528236.jpg,315.51,2.01,48.21,14.31
../food-101/train\apple_pie\2536578.jpg,282.27,1.85,49.51,15.16
../food-101/train\apple_pie\2538221.jpg,296.25,2.11,46.24,14.03
../food-101/train\apple_pie\2540831.jpg,277.12,1.87,37.16,13.09
../food-101/train\apple_pie\2542633.jpg,289.28,1.85,44.78,13.93
../food-101/train\apple_pie\2546216.jpg,304.74,1.94,39.02,15.06
../food-101/train\apple_pie\2548878.jpg,310.33,1.9,40.63,13.63
../food-101/train\apple_pie\2564881.jpg,318.59,2.11,48.03,15.51
../food-101/train\apple_pie\2569986.jpg,285.44,1.79,48.5,13.29
../food-101/train\apple_pie\2570111.jpg,277.81,1.87,42.97,15.61
../food-101/train\apple_pie\257378.jpg,308.14,1.73,50.33,15.13
../food-101/train\apple_pie\2574026.jpg,313.12,2.11,34.38,12.13
../food-101/train\apple_pie\2579504.jpg,313.8,1.76,47.19,13.29
../food-101/train\apple_pie\2581687.jpg,324.21,1.95,45.57,12.49
../food-101/train\apple_pie\2582077.jpg,278.5,2.26,36.0,15.06
../food-101/train\apple_pie\2586142.jpg,267.01,2.26,41.0,14.45
../food-101/train\apple_pie\2586267.jpg,303.1,2.02,50.39,13.26
../food-101/train\apple_pie\2591737.jpg,324.4,2.12,43.79,12.19
../food-101/train\apple_pie\2595208.jpg,300.59,1.92,48.7,15.5
../food-101/train\apple_pie\2598068.jpg,289.99,2.3,35.53,15.47
../food-101/train\apple_pie\259923.jpg,308.11,2.2,42.95,14.55
../food-101/train\apple_pie\2600379.jpg,304.35,1.95,41.96,14.13
../food-101/train\apple_pie\2601590.jpg,312.7,1.74,43.38,14.91
../food-101/train\apple_pie\2601920.jpg,292.92,1.72,34.94,13.82
../food-101/train\apple_pie\2602468.jpg,271.87,1.71,42.63,15.85
../food-101/train\apple_pie\2603533.jpg,289.11,1.72,34.93,12.15
../food-101/train\apple_pie\2605371.jpg,294.8,2.19,43.22,13.5
../food-101/train\apple_pie\2605751.jpg,296.11,1.78,46.93,15.73
../food-101/train\apple_pie\2606415.jpg,306.28,1.97,40.36,15.77
../food-101/train\apple_pie\2607306.jpg,283.38,1.78,46.15,14.93
../food-101/train\apple_pie\2607694.jpg,293.94,2.0,48.35,15.39
../food-101/train\apple_pie\2610017.jpg,325.0,2.1,39.66,14.41
../food-101/train\apple_pie\2612593.jpg,298.49,1.77,42.39,12.36
../food-101/train\apple_pie\2615584.jpg,316.56,2.27,35.22,13.28
../food-101/train\apple_pie\2620367.jpg,296.85,1.81,38.32,12.64
../food-101/train\apple_pie\2621542.jpg,298.17,1.7,49.55,15.5
../food-101/train\apple_pie\2626973.jpg,313.47,2.21,48.19,12.05
../food-101/train\apple_pie\2627767.jpg,278.44,2.1,40.07,14.09
../food-101/train\apple_pie\2635983.jpg,316.1,1.93,45.11,15.28
../food-101/train\apple_pie\2648160.jpg,270.13,2.11,34.61,12.59
../food-101/train\apple_pie\2651801.jpg,321.33,1.89,46.77,12.52
../food-101/train\apple_pie\2656095.jpg,279.29,1.96,46.8,14.21
../food-101/train\apple_pie\2658301.jpg,319.44,2.28,50.04,13.83
../food-101/train\apple_pie\265928.jpg,299.98,2.25,47.53,12.42
../food-101/train\apple_pie\266007.jpg,303.23,1.82,49.99,15.8
../food-101/train\apple_pie\2666921.jpg,322.83,2.28,47.99,14.05
../food-101/train\apple_pie\2677312.jpg,309.08,1.88,44.52,14.63
../food-101/train\apple_pie\267865.jpg,296.52,1.95,35.3,15.48
../food-101/train\apple_pie\2682484.jpg,317.62,1.92,38.88,13.47
../food-101/train\apple_pie\2683315.jpg,306.7,1.75,47.2,13.52
../food-101/train\apple_pie\2698000.jpg,289.55,2.28,48.94,15.87
../food-101/train\apple_pie\2702725.jpg,266.86,1.99,47.97,13.36
../food-101/train\apple_pie\2704442.jpg,267.35,2.14,39.66,15.73
../food-101/train\apple_pie\2705419.jpg,307.07,2.03,36.86,15.98
../food-101/train\apple_pie\2708417.jpg,312.81,1.83,33.87,13.06
../food-101/train\apple_pie\2713482.jpg,306.47,1.75,47.73,13.39
../food-101/train\apple_pie\2713820.jpg,312.46,1.79,48.78,12.11
../food-101/train\apple_pie\2721937.jpg,303.12,1.75,35.73,13.84
../food-101/train\apple_pie\2722097.jpg,318.4,2.15,47.15,12.23
../food-101/train\apple_pie\2722635.jpg,283.76,2.26,49.71,14.09
../food-101/train\apple_pie\2724897.jpg,295.7,1.9,44.0,11.94
../food-101/train\apple_pie\2725375.jpg,311.7,1.94,41.27,12.59
../food-101/train\apple_pie\2735083.jpg,301.76,2.28,47.77,14.0
../food-101/train\apple_pie\2735451.jpg,308.9,2.06,48.35,14.29
../food-101/train\apple_pie\2740775.jpg,311.36,2.17,46.67,15.86
../food-101/train\apple_pie\2740848.jpg,289.3,2.08,47.3,15.26
../food-101/train\apple_pie\274516.jpg,285.07,2.18,36.94,14.18
../food-101/train\apple_pie\2745186.jpg,307.52,1.97,35.27,12.61
../food-101/train\apple_pie\2745241.jpg,299.76,2.27,47.6,12.96
../food-101/train\apple_pie\2751362.jpg,297.2,1.9,44.45,13.25
../food-101/train\apple_pie\2751755.jpg,317.87,1.75,49.58,16.01
../food-101/train\apple_pie\2761063.jpg,312.16,2.12,45.09,15.55
../food-101/train\apple_pie\2761976.jpg,278.01,2.26,48.96,14.3
../food-101/train\apple_pie\2762199.jpg,285.33,1.89,38.25,12.22
../food-101/train\apple_pie\2764233.jpg,285.15,1.86,43.89,12.78
../food-101/train\apple_pie\2764778.jpg,287.16,1.81,46.32,13.06
../food-101/train\apple_pie\2766379.jpg,317.29,2.27,41.29,15.11
